theme,url,img,lines,author
PEACE,/inspirational-quotes/6910-it-is-tenderness-for-the-past-courage-for-the,https://assets.passiton.com/quotes/quote_artwork/6910/medium/20211206_monday_quote.jpg?1638564627,"It is tenderness for the past, courage for the present, hope for the future.  It is a fervent wish that every cup may overflow with blessings rich and eternal, and that every path may lead to peace.",<Author:0x000055ecd7309818>
COMPASSION,/inspirational-quotes/8285-use-your-voice-for-kindness-your-ears-for,https://assets.passiton.com/quotes/quote_artwork/8285/medium/20211203_friday_quote.jpg?1637704870,"Use your voice for kindness, your ears for compassion, your hands for charity, your mind for truth, and your heart for love.",<Author:0x000055ecd73615b8>
COMPASSION,/inspirational-quotes/7233-fear-grows-out-of-the-things-we-think-it-lives,https://assets.passiton.com/quotes/quote_artwork/7233/medium/20211202_thursday_quote.jpg?1637704844,"Fear grows out of the things we think; it lives in our minds. Compassion grows out of the things we are, and lives in our hearts.",<Author:0x000055ecd738cd30>
COMPASSION,/inspirational-quotes/8018-our-human-compassion-binds-us-the-one-to-the,https://assets.passiton.com/quotes/quote_artwork/8018/medium/20211201_wednesday_quote.jpg?1637704803,"Our human compassion binds us the one to the other - not in pity or patronizingly, but as human beings who have learnt how to turn our common suffering into hope for the future.",<Author:0x000055ecd73d7f88>
COMPASSION,/inspirational-quotes/8089-true-compassion-means-not-only-feeling-anothers,https://assets.passiton.com/quotes/quote_artwork/8089/medium/20211130_tuesday_quote.jpg?1637704744,True compassion means not only feeling another's pain but also being moved to help relieve it. ,<Author:0x000055ecd740a050>
COMPASSION,/inspirational-quotes/8284-there-is-nobility-in-compassion-a-beauty-in,https://assets.passiton.com/quotes/quote_artwork/8284/medium/20211129_monday_quote.jpg?1637704708,"There is nobility in compassion, a beauty in empathy, a grace in forgiveness.",<Author:0x000055ecd744d990>
GRATITUDE,/inspirational-quotes/7567-two-kinds-of-gratitude-the-sudden-kind-we-feel,https://assets.passiton.com/quotes/quote_artwork/7567/medium/20211126_friday_quote.jpg?1637301230,Two kinds of gratitude: the sudden kind we feel for what we take; the larger kind we feel for what we give.,<Author:0x000055ecd7478ac8>
GRATITUDE,/inspirational-quotes/7427-gratitude-can-transform-common-days-into,https://assets.passiton.com/quotes/quote_artwork/7427/medium/20211125_thursday_quote.jpg?1637301183,"Gratitude can transform common days into thanksgivings, turn routine jobs into joy, and change ordinary opportunities into blessings.",<Author:0x000055ecd74a4e48>
GRATITUDE,/inspirational-quotes/7426-as-we-express-our-gratitude-we-must-never,https://assets.passiton.com/quotes/quote_artwork/7426/medium/20211124_wednesday_quote.jpg?1637300980,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.",<Author:0x000055ecd74c84d8>
GRATITUDE,/inspirational-quotes/8283-its-a-funny-thing-about-life-once-you-begin-to,https://assets.passiton.com/quotes/quote_artwork/8283/medium/20211123_tuesday_quote.jpg?1637300949,"It's a funny thing about life, once you begin to take note of the things you are grateful for, you begin to lose sight of the things that you lack.",<Author:0x000055ecd74ecb80>
